1622	1622.trycycler.fasta
389_7A	389-7A_scaffolds.filter.fasta
ATCC49118	ATCC49118_scaffolds.filter.fasta
BRIP38854	BRIP38854_scaffolds.filter.fasta
BRIP38859	BRIP38859_scaffolds.filter.fasta
BRIP38867	BRIP38867_scaffolds.filter.fasta
BRIP38875	BRIP38875_scaffolds.filter.fasta
BRIP38878	BRIP38878_scaffolds.filter.fasta
BRIP38883	BRIP38883_scaffolds.filter.fasta
BRIP38884	BRIP38884_scaffolds.filter.fasta
BRIP38886	BRIP38886_scaffolds.filter.fasta
BRIP38887	BRIP38887_scaffolds.filter.fasta
BRIP38888	BRIP38888_scaffolds.filter.fasta
BRIP38891	BRIP38891_scaffolds.filter.fasta
BRIP38894	BRIP38894_scaffolds.filter.fasta
BRIP38898	BRIP38898_scaffolds.filter.fasta
BRIP38906	BRIP38906_scaffolds.filter.fasta
BRIP38907	BRIP38907_scaffolds.filter.fasta
BRIP38908	BRIP38908_scaffolds.filter.fasta
BRIP38913	BRIP38913_scaffolds.filter.fasta
BRIP38914	BRIP38914_scaffolds.filter.fasta
BRIP38915	BRIP38915.trycycler.fasta
BRIP38916	BRIP38916_scaffolds.filter.fasta
BRIP38918	BRIP38918_scaffolds.filter.fasta
BRIP38920	BRIP38920_scaffolds.filter.fasta
BRIP38922	BRIP38922_scaffolds.filter.fasta
BRIP38923	BRIP38923_scaffolds.filter.fasta
BRIP38924	BRIP38924_scaffolds.filter.fasta
BRIP38931	BRIP38931_scaffolds.filter.fasta
BRIP38932	BRIP38932_scaffolds.filter.fasta
BRIP38933	BRIP38933_scaffolds.filter.fasta
BRIP38935	BRIP38935_scaffolds.filter.fasta
BRIP38936	BRIP38936_scaffolds.filter.fasta
BRIP38939	BRIP38939_scaffolds.filter.fasta
BRIP38940	BRIP38940_scaffolds.filter.fasta
BRIP38941	BRIP38941_scaffolds.filter.fasta
BRIP38942	BRIP38942_scaffolds.filter.fasta
BRIP38947	BRIP38947_scaffolds.filter.fasta
BRIP38948	BRIP38948_scaffolds.filter.fasta
BRIP38949	BRIP38949_scaffolds.filter.fasta
BRIP38952	BRIP38952_scaffolds.filter.fasta
BRIP38953	BRIP38953_scaffolds.filter.fasta
BRIP38954	BRIP38954_scaffolds.filter.fasta
BRIP38955	BRIP38955_scaffolds.filter.fasta
BRIP38959	BRIP38959_scaffolds.filter.fasta
