ST	nusG	rpmA	arfB	rplQ	queD	fdx	exbD
1	1	1	1	1	1	1	1
2	2	2	2	2	1	2	2
3	3	3	3	3	2	3	3
4	4	4	4	4	1	4	4
5	5	5	3	5	3	3	5
6	6	2	5	1	1	1	6
7	7	6	3	6	4	5	5
8	8	3	9	3	5	6	3
9	8	6	3	3	5	6	5
10	8	6	3	6	7	11	5
11	8	6	3	7	10	13	11
12	8	6	8	1	3	10	5
13	8	6	8	5	3	9	5
14	8	6	10	5	12	6	3
15	8	9	3	5	8	12	9
16	8	10	8	5	11	14	3
17	9	7	6	2	1	7	7
18	10	8	7	1	6	8	8
19	11	3	3	3	9	3	10
20	12	7	11	5	1	15	12
21	8	3	12	3	3	3	3
22	13	11	13	8	6	16	13
23	14	12	14	9	6	8	8
24	15	13	15	1	1	1	14
25	16	14	16	1	13	17	15
26	17	15	3	1	6	18	8
27	18	11	7	1	6	19	8
28	10	16	17	1	6	8	16
29	19	17	18	1	6	20	17
30	20	18	19	1	1	21	18
31	21	4	4	5	1	8	8
32	22	1	20	1	1	22	18
33	15	13	21	1	1	1	14
34	16	14	22	1	14	23	19
